### params -i512 -r1024 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       gondolinlf-ht_harris_0 gondolinlb-ht_java_0 gondolinlb-ht_optik0_0 gondolinlb-ht_optik1_0 gondolinlb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       21656880     24998137     20761955     24560210     22561626     
2       21573932     24309462     20348692     24004568     21634040     
3       28182656     27414901     26100790     29157292     26030556     
4       32916463     27661240     32076300     34577326     31248418     
5       38166744     32948313     34435974     40245402     35867386     
6       40096276     34101652     37594855     41697393     39770882     
7       43663256     36158834     41474293     45882762     42117522     
8       46221941     38357888     43913374     48804995     45635152     
10      28211877     1999104      1782216      1843455      1921025      
12      29150406     1159391      1104320      1078465      1168182      
