### params -i65534 -p40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ././bin/gondolin/lf-qu_ms       ./bin/gondolin/lb-qu_ms         ./bin/gondolin/lb-qu_ms_hybrid  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       16364219    100.00  1           14407348    100.00  1           15931794    100.00  1           
2       8806808     26.91   0.54        4059208     14.09   0.28        7967572     25.01   0.50        
3       6192884     12.61   0.38        3449002     7.98    0.24        5379152     11.25   0.34        
4       4872801     7.44    0.30        3388550     5.88    0.24        4441496     6.97    0.28        
5       4097713     5.01    0.25        3511014     4.87    0.24        4106194     5.15    0.26        
6       3816076     3.89    0.23        3494788     4.04    0.24        3803701     3.98    0.24        
7       3636224     3.17    0.22        3470090     3.44    0.24        3673736     3.29    0.23        
8       3509924     2.68    0.21        3429424     2.98    0.24        3624449     2.84    0.23        
10      3331753     2.04    0.20        12480       0.01    0.00        11930       0.01    0.00        
12      3125094     1.59    0.19        952         0.00    0.00        36360       0.02    0.00        
