###,params,-i512,-r1024,-u40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelf-ht_harris_0,lpd48corelb-ht_java_0,lpd48corelb-ht_optik0_0,lpd48corelb-ht_optik1_0,lpd48corelb-ht_pugh_0,
#cores,throughput,throughput,throughput,throughput,throughput,
1,28566095,35844239,27474260,32683353,30360699,
2,17302648,14284934,16722455,18103038,18846281,
4,22668115,18490960,22784047,23749024,23592716,
6,27083702,23080590,28364890,30603781,28088149,
8,32720940,27570326,33235141,36725412,33765048,
10,36951524,31605076,38312045,43082991,39741109,
12,41399958,36974001,46442971,49806830,45739482,
14,44639935,40337125,51380084,56270300,50166282,
16,44587348,44402832,55679673,61195247,55526834,
18,48400496,47946460,60614646,66181624,60180128,
20,48829822,52427773,66198474,72309931,64894921,
22,48789219,56547347,70058430,76967251,69049213,
24,50386022,59920424,74975467,85116484,77635920,
26,51648842,62870859,81329418,88875023,81418468,
28,52040466,67485915,85411315,94331767,84721590,
30,52867134,71414089,86991238,98206507,89838158,
32,54249700,72862425,91909465,102347677,92856758,
34,54230548,76787405,94997148,105937723,95500074,
36,54868373,81650647,98121340,110057845,100485684,
38,53865122,63352213,75183286,85695938,70160741,
40,53218912,52885069,61933935,75567269,59500782,
42,53292260,46968824,54746205,65250182,47963584,
44,52531809,40167264,46973968,64395126,45346617,
46,52214458,42703116,42476465,58120382,39541697,
48,52972873,35538091,39873228,50025242,37463850,
52,52513581,33150173,36427987,40119990,31732031,
56,52539892,29951746,29932075,41394445,27636354,
60,50964792,25173973,25967682,37432317,26114777,
64,51659383,25928568,24430245,28447604,23672630,
