### params -i65536 -r131072 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelf-ht_harris_2 lpd48corelb-ht_java_2 lpd48corelb-ht_optik0_2 lpd48corelb-ht_optik1_2 lpd48corelb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       6851199      16977450     6343349      10434935     9275935      
2       9369470      12115972     8844614      12193281     11066316     
4       14979998     15565146     15090264     18812333     18377968     
6       20217258     21352435     21245124     25318372     24010349     
8       26231437     23505486     25139527     30396880     28779066     
10      29510832     27244833     30143601     35390717     34339977     
12      34435849     31244426     34998278     40266050     38452300     
14      38988833     35356486     39206348     44729010     43618982     
16      42458482     38029904     43807237     49531504     48144193     
18      46635381     41481610     48636604     54030419     52257254     
20      49783054     44029867     51688840     57180104     55940734     
22      54323039     47681588     55223383     61379566     59008155     
24      56062578     49437131     59394326     64751247     62468746     
26      60695621     51433805     62960261     67295012     65228338     
28      63693439     37685362     66831770     73925602     67052041     
30      67744877     21501843     69971272     75193609     60127583     
32      70730210     18047429     72807665     80623963     43891686     
34      74270354     16634605     76525213     79915555     30458228     
36      76127887     14799509     75805004     83532736     26641345     
38      74130429     13791708     70852693     76745028     23979709     
40      74133433     12623014     68129624     73789167     21897246     
42      73026338     11490062     66518019     70593140     20599950     
44      73033361     11219795     62043088     72144926     19458305     
46      73471402     10769354     59104334     63585371     18309906     
48      71976001     9857749      55517877     64421643     18052996     
52      73700673     8935263      52320586     62485482     16751269     
56      72696771     8440322      47898956     56130871     22601193     
60      72910699     7739502      45401615     49818544     15372616     
64      71784677     7440665      44392407     48752462     14498131     
