###,params,-i1024,-r2048,-u40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelb-ll_lazy_0,lpd48corelb-ll_coupling_0,lpd48corelf-ll_harris_opt_0,lpd48corelb-ll_optik_gl_0,lpd48corelb-ll_optik_0,lpd48corelb-ll_pugh_0,
#cores,throughput,throughput,throughput,throughput,throughput,throughput,
1,885840,166957,658507,889700,776704,883509,
2,1182299,32294,968130,994656,1049516,1207979,
4,1932216,51507,1653566,1167635,1751676,1965475,
6,2631557,67145,2264873,1220480,2404485,2674555,
8,3261227,84596,2871559,1245635,2997195,3309701,
10,3829434,99632,3382033,1252005,3523448,3870431,
12,4333935,118377,3884344,1250330,4035322,4397970,
14,4809468,132672,4354245,1220181,4478645,4852843,
16,5213925,148413,4755206,1236526,4877081,5252864,
18,5280165,166831,5139900,1235451,5284466,5398814,
20,5811528,176903,5255356,1194328,5547025,5904659,
22,6039103,195035,5306614,1144914,5493875,6081472,
24,6191144,206946,5828286,1108469,5996461,6124069,
26,6129915,224247,6041291,1078402,6075926,6067542,
28,6145022,235318,6165595,1053367,6075536,6449533,
30,6208547,246897,6126541,969055,6324279,6337450,
32,6516560,258531,6141337,858899,6280225,6582752,
34,6429021,271125,6373612,878978,6396961,6546955,
36,6669822,223696,6384712,802990,6651417,6579674,
38,6023548,10389,6246023,779462,6627578,6312404,
40,6170441,6340,6071337,746587,6640425,6138392,
42,5932606,3795,5966618,770901,6433468,5609112,
44,5315207,3683,5924391,787953,6347306,5576588,
46,5121706,2592,6121412,801813,6190892,5178831,
48,5052657,2092,6037860,840786,6169849,5091457,
52,4613195,1981,5786607,756357,5477990,4910998,
56,4153724,1644,5635223,832863,5537526,4204614,
60,3613320,1287,5462271,791015,5374593,3798005,
64,3530400,1072,5075900,750604,5231738,3576452,
