### params -i8192 -r16384 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelb-ll_lazy_2 lpd48corelb-ll_coupling_2 lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       19387        10777        20455        21640        19828        21558        
2       42822        2513         40509        36130        35111        42789        
4       83568        3761         79584        67584        76669        83972        
6       124475       5224         118663       79990        114334       123691       
8       162914       6580         157127       85398        150056       162841       
10      201061       7954         194078       88499        186388       201995       
12      238874       9294         232154       89821        221513       239185       
14      274251       10358        266768       92199        255771       276277       
16      308790       11661        300241       93222        286159       310502       
18      341125       12974        330624       94545        317942       343730       
20      374753       14161        365190       95516        349651       372047       
22      405225       14711        395420       95779        379627       411143       
24      437703       15402        427721       97231        400990       436666       
26      469345       15997        455722       97517        435892       467139       
28      495561       16715        480137       98284        463140       494660       
30      514663       16441        506194       99273        488148       516035       
32      549253       15888        527493       98427        512404       549663       
34      567113       15563        552289       98573        532457       568134       
36      586848       14818        569872       97020        552400       587164       
38      578568       1658         551907       97285        549099       581473       
40      569026       1273         552852       97444        533715       563320       
42      551668       902          529794       94036        508541       561300       
44      533419       773          516395       93086        507709       538307       
46      526184       711          500274       91556        478357       521987       
48      497583       603          469080       90156        463775       487005       
52      462171       534          440016       85938        433365       462028       
56      443623       428          418565       85731        413860       442704       
60      415026       428          334826       65646        398618       417717       
64      401782       358          377176       80266        381422       400929       
