### params -i65534 -p50 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       ././bin/lpd48core/lf-qu_ms      ./bin/lpd48core/lb-qu_ms        ./bin/lpd48core/lb-qu_ms_hybrid 
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       27997995    100.00  1           24448780    100.00  1           27707760    100.00  1           
2       5301564     9.47    0.19        2925020     5.98    0.12        4068038     7.34    0.15        
4       2721956     2.43    0.10        2533786     2.59    0.10        2569285     2.32    0.09        
6       2222583     1.32    0.08        2509824     1.71    0.10        2385348     1.43    0.09        
8       2096498     0.94    0.07        2483473     1.27    0.10        2368408     1.07    0.09        
10      1938171     0.69    0.07        2419675     0.99    0.10        2328685     0.84    0.08        
12      1824188     0.54    0.07        2506799     0.85    0.10        2284663     0.69    0.08        
14      1731428     0.44    0.06        2568942     0.75    0.11        2272203     0.59    0.08        
16      1559828     0.35    0.06        2545448     0.65    0.10        2192358     0.49    0.08        
18      1435842     0.28    0.05        2563452     0.58    0.10        2206540     0.44    0.08        
20      1445655     0.26    0.05        2560281     0.52    0.10        2287248     0.41    0.08        
22      1096630     0.18    0.04        2493233     0.46    0.10        2186003     0.36    0.08        
24      1029461     0.15    0.04        2474349     0.42    0.10        2276039     0.34    0.08        
26      904362      0.12    0.03        2417331     0.38    0.10        2261764     0.31    0.08        
28      803178      0.10    0.03        2501998     0.37    0.10        2179083     0.28    0.08        
30      722872      0.09    0.03        2385570     0.33    0.10        2137802     0.26    0.08        
32      659098      0.07    0.02        2491001     0.32    0.10        2094122     0.24    0.08        
34      617758      0.06    0.02        2331110     0.28    0.10        2047581     0.22    0.07        
36      574200      0.06    0.02        2469243     0.28    0.10        1939014     0.19    0.07        
38      568031      0.05    0.02        10208       0.00    0.00        16296       0.00    0.00        
40      577384      0.05    0.02        11563       0.00    0.00        9327        0.00    0.00        
42      556358      0.05    0.02        15469       0.00    0.00        10428       0.00    0.00        
44      579001      0.05    0.02        10707       0.00    0.00        13612       0.00    0.00        
46      561126      0.04    0.02        8584        0.00    0.00        8657        0.00    0.00        
48      574651      0.04    0.02        9308        0.00    0.00        18639       0.00    0.00        
52      566657      0.04    0.02        16478       0.00    0.00        12670       0.00    0.00        
56      573975      0.04    0.02        11436       0.00    0.00        10143       0.00    0.00        
60      585933      0.03    0.02        13428       0.00    0.00        12175       0.00    0.00        
64      583170      0.03    0.02        12554       0.00    0.00        14023       0.00    0.00        
