###,params,-i1024,-r2048,-u40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelf-sl_fraser_2,lpd48corelb-sl_herlihy_2,lpd48corelb-sl_optik1_2,
#cores,throughput,throughput,throughput,
1,5009523,6062732,5869156,
2,5999684,7015589,6995538,
4,8414259,9596651,10057732,
6,10285166,11073939,12380586,
8,11369485,11657137,12845242,
10,11577598,11514896,13099572,
12,11815793,10946729,12343364,
14,12238685,10069955,13020929,
16,11613718,9157885,12850104,
18,11569688,8241186,12667130,
20,11501280,7605216,12550176,
22,11012343,6616514,12318012,
24,10852390,5872092,12203024,
26,10600537,5328546,12132308,
28,10418539,4886867,12010573,
30,10214516,4455845,11808147,
32,10029920,4064390,11704926,
34,9822015,3735367,11583242,
36,9699482,3432101,11465941,
38,9662650,2983106,10418122,
40,9708698,2593107,9257012,
42,9709880,2315825,8584849,
44,9711721,2121640,7959232,
46,9723219,1909489,7441597,
48,9598698,1727369,6837525,
52,9730884,1451268,6005169,
56,9803645,1265137,5310508,
60,9730626,989336,5094140,
64,9569589,938548,4144193,
