### params -i65536 -r131072 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelf-sl_fraser_0 lpd48corelb-sl_herlihy_0 lpd48corelb-sl_optik1_0 
#cores  throughput   throughput   throughput   
1       2041169      2138127      2289476      
2       2677177      3468821      3748527      
4       4039978      6247045      6781129      
6       5797427      9040931      9490977      
8       7467038      11352520     12423658     
10      7737406      13612472     14735956     
12      8886635      16112901     16991282     
14      8152893      18487083     19193013     
16      8713282      20072494     21110763     
18      9325789      22431246     23242276     
20      9597294      23770358     24975858     
22      8360367      25515153     26668192     
24      9210442      27264306     28620251     
26      9084590      28595543     30245100     
28      9651937      30668326     31410597     
30      10182962     31742975     32907081     
32      9067511      32972246     34199251     
34      9342152      33693149     34853570     
36      12907673     34667739     36391502     
38      10031978     31451011     33464808     
40      10615324     28594081     31507349     
42      10588258     25961629     30430737     
44      10517995     25390877     30214287     
46      10650909     24881608     30077812     
48      9995535      24427913     29614823     
52      10566761     23826885     28547656     
56      10300040     22826146     27598720     
60      10010399     20122424     27275300     
64      9824651      20982674     26876368     
