###,params,-i65534,-p40,/,keep,median,of,reps,5,of,dur,4000
#,Result,from,5,repetitions:,median
#,lpd48corelf-st_treiber,lpd48corelb-st_lock,
#cores,throughput,throughput,
1,29124094,23519930,
2,10802074,1501636,
4,4416469,1570715,
6,2679687,1549889,
8,2086291,1545981,
10,1612216,1563812,
12,1545529,1548689,
14,1233174,1490537,
16,1004383,1497254,
18,864876,1496105,
20,704469,1519372,
22,626549,1497604,
24,518809,1529406,
26,481775,1498893,
28,412277,1524755,
30,369939,1477603,
32,355405,1422952,
34,317834,1494121,
36,302364,1496561,
38,303961,10655,
40,293800,10651,
42,304149,6718,
44,303424,6115,
46,289170,8257,
48,300777,13190,
52,311538,5469,
56,294961,6355,
60,303709,5317,
64,305343,4327,
