### params -i65534 -p50 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpd48corelf-st_treiber lpd48corelb-st_lock 
#cores  throughput   throughput   
1       31487380     24090509     
2       10533962     1469361      
4       3973647      1473678      
6       2325819      1488404      
8       1742604      1460580      
10      1412795      1495947      
12      1232743      1442622      
14      1015095      1454859      
16      845878       1443452      
18      738291       1448139      
20      606239       1457845      
22      487980       1468764      
24      460228       1398307      
26      395023       1427190      
28      355632       1425396      
30      335386       1431482      
32      286795       1389545      
34      287424       1426996      
36      264540       1339941      
38      255834       8977         
40      262086       7501         
42      252954       5552         
44      249612       5629         
46      247565       6248         
48      257151       6183         
52      259338       5594         
56      256985       5461         
60      266850       7853         
64      258224       5683         
