### params -i512 -r1024 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-ht_harris_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       37649078     47406318     36904471     42479169     39618088     
2       56059512     59237405     54276821     33416074     28680154     
4       63587898     54782554     55379689     71332139     61240596     
6       84727188     75396530     79177776     95685841     81853165     
8       113121663    93815406     106122587    117943772    108428852    
10      130256242    111841934    127492970    147531832    133506002    
12      156007294    128867162    146911238    170499534    148444580    
14      174574790    140967868    166094761    193131203    166346501    
16      188132900    154362140    176702745    212159740    185390049    
18      207099485    170454810    197253479    237808268    198783518    
20      227869339    177224123    214100354    246616322    212805744    
22      239595347    187989983    224076923    269186572    230023181    
24      258098318    197212992    238921277    283038664    239738634    
26      268598908    205637388    248009186    293429277    247665235    
28      278955007    212122190    256150070    304477067    259526822    
30      287831337    217443661    268441229    312415085    267339877    
32      296575712    226241957    274678843    321475400    273625958    
34      307101710    230869785    285256800    331669618    284435568    
36      316164239    236694598    291412322    342414525    290487913    
38      323668559    245448030    300085120    349217489    296544434    
40      329504638    250397478    306351756    358028603    306817594    
44      300448816    128161664    175878875    216020048    128648273    
48      290125458    105896287    124767528    171753890    99906918     
52      283572952    87819322     104196736    148111844    84930972     
56      275183560    78699731     103285870    128775884    75576171     
60      266916911    70940949     92052377     129885434    68424206     
