### params -i1024 -r2048 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_coupling_2 lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       244217       138318       222050       242763       242611       238182       
2       233342       92235        140321       173747       154030       224978       
4       507534       56833        483703       400282       495667       495650       
6       836135       75803        816797       520745       879479       853597       
8       1129978      91356        1076896      564902       1070977      1077434      
10      1341008      112184       1231226      559440       1401291      1330236      
12      1592408      119072       1502710      612248       1625580      1593749      
14      1755519      139433       1709152      666740       1804157      1814345      
16      2051526      161634       1860128      628506       1894344      1953691      
18      2237357      171921       2057660      624102       2237784      2170475      
20      2273106      188222       2227682      638254       2335958      2314302      
22      2446674      201959       2369052      614974       2409726      2435559      
24      2613891      209017       2461656      615600       2522258      2576356      
26      2566734      220138       2595732      603768       2594927      2649908      
28      2690344      232176       2659441      592094       2618565      2699180      
30      2795479      242074       2815480      569483       2722571      2779525      
32      2782435      256235       2867578      569186       2722750      2774789      
34      2869212      266020       2899870      560818       2758189      2850798      
36      2892250      281437       2999950      539647       2858679      2958476      
38      2959468      296588       3130335      518445       2904696      2941170      
40      2943811      308299       3155752      500259       2987622      3043504      
44      2912990      4246         3112821      505485       2905291      3009230      
48      2804380      2934         3110640      486012       2863626      2897410      
52      2803981      1677         3106621      484389       2814534      2766239      
56      2673101      1529         3075685      493730       2840904      2612137      
60      2542832      1324         3125205      481747       2743318      2414969      
