### params -i16384 -r32768 -u40 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-sl_fraser_2 lpdxeon2680lb-sl_herlihy_2 lpdxeon2680lb-sl_optik1_2 
#cores  throughput   throughput   throughput   
1       4702132      4710220      4799050      
2       6628834      8538131      9030376      
4       12307679     12707798     12660852     
6       16419563     17676656     17128429     
8       20936618     21776576     21123962     
10      24263764     25333166     24619990     
12      26456363     27872612     27922728     
14      29005000     30309275     30312063     
16      31082659     32190116     33195740     
18      33379435     32933742     34896499     
20      35913529     32121078     37227204     
22      36205128     31247012     39357096     
24      37944348     28153602     40656268     
26      39516589     25603892     42629117     
28      40264477     22824366     43890739     
30      42236233     20701272     44582760     
32      42491949     18949843     46708807     
34      43706119     17034421     48200741     
36      44716902     15573739     49364274     
38      45673360     14466964     50404807     
40      46631674     13584363     51126859     
44      45063378     10860010     40551090     
48      44665067     9123330      33969897     
52      44315519     7826040      29681157     
56      44196316     6650194      26597206     
60      43850994     5645920      24352414     
