### params -i65534 -p60 / keep median of reps 5 of dur 4000
# Result from 5 repetitions: median
#       lpdxeon2680lf-st_treiber lpdxeon2680lb-st_lock 
#cores  throughput   throughput   
1       46035045     33034566     
2       17693509     4839996      
4       9969061      3493068      
6       7314177      3849516      
8       6040477      3909554      
10      5349018      4056684      
12      5003964      3906148      
14      4703683      3787068      
16      4597538      3693197      
18      4441254      3458927      
20      4351441      3449757      
22      4271566      3406041      
24      4207796      3364428      
26      4161190      3334444      
28      3947498      3417629      
30      3799864      3392930      
32      3969972      3412144      
34      3717025      3442436      
36      3933233      3486322      
38      3793564      3546918      
40      3500141      3623833      
44      3569284      45075        
48      3756279      55472        
52      3875656      17367        
56      3837775      12121        
60      3897076      37752        
